KepRef,AIF,CNR,TemporalRes,TrueRelKt,TrueRelVe,TrueKep,errKt,errVe,errKep,stdErrKt,stdErrVe,stdErrKep, meanResid, stdResid
1.400000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,-9.261747,-0.686004,28.026244,8.367403,2.797514,12.496321,1.147041,0.075092
1.500000,Default,5.000000,5.000000,2.500000,4.000000,0.625000,-11.341966,-0.829287,34.219006,8.470934,2.781694,13.520793,1.150654,0.075734
0.500000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,13.994272,4.043136,-45.058032,9.049135,4.991439,5.448232,0.802121,0.074343
0.600000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,10.920472,2.786891,-35.088131,9.495874,4.667936,6.602793,0.801391,0.074376
0.700000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,7.978210,1.922164,-25.670372,9.907486,4.464544,7.837325,0.801551,0.074485
0.800000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,5.161993,1.293751,-16.767071,10.281404,4.327473,9.136410,0.802462,0.074677
0.850000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,3.799386,1.040630,-12.497282,10.454083,4.274969,9.805725,0.803161,0.074807
0.900000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,2.466166,0.818676,-8.343153,10.617358,4.230262,10.486060,0.804004,0.074960
0.925000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,1.810355,0.717717,-6.308209,10.695520,4.210347,10.829890,0.804475,0.075045
0.950000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,1.161624,0.622694,-4.300695,10.771399,4.191849,11.175924,0.804978,0.075136
0.975000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,0.519887,0.533124,-2.320136,10.845022,4.174633,11.523992,0.805511,0.075234
1.000000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-0.114943,0.448574,-0.366065,10.916420,4.158580,11.873929,0.806072,0.075337
1.025000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-0.742955,0.368656,1.561975,10.985625,4.143587,12.225577,0.806661,0.075447
1.050000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-1.364233,0.293020,3.464432,11.052669,4.129560,12.578784,0.807276,0.075563
1.075000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-1.978864,0.221351,5.341746,11.117588,4.116417,12.933404,0.807916,0.075685
1.100000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-2.586932,0.153363,7.194349,11.180416,4.104083,13.289295,0.808579,0.075813
1.150000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-3.783718,0.027414,10.827105,11.299947,4.081588,14.004355,0.809972,0.076088
1.200000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-4.955256,-0.086635,14.365985,11.411558,4.061622,14.722942,0.811446,0.076387
1.300000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-7.225182,-0.284828,21.174629,11.612219,4.027870,16.166999,0.814608,0.077058
1.400000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-9.401767,-0.450658,27.644111,11.784797,4.000593,17.614784,0.818009,0.077822
1.500000,Default,5.000000,10.000000,2.500000,4.000000,0.625000,-11.489838,-0.590963,33.796446,11.931629,3.978239,19.060647,0.821601,0.078675
0.500000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,13.620303,4.093207,-45.188719,11.063627,6.046101,6.639399,0.654380,0.074745
0.600000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,10.549939,2.817883,-35.247551,11.608977,5.644742,8.044330,0.654415,0.074763
0.700000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,7.611235,1.942868,-25.859186,12.111435,5.393283,9.545826,0.655235,0.074884
0.800000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,4.798668,1.308850,-16.985733,12.568149,5.224255,11.125464,0.656712,0.075113
0.850000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,3.437903,1.054026,-12.730993,12.779216,5.159611,11.939282,0.657662,0.075269
0.900000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,2.106524,0.830894,-8.591982,12.978905,5.104613,12.766509,0.658735,0.075454
0.925000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,1.451630,0.729507,-6.564618,13.074545,5.080129,13.184587,0.659315,0.075556
0.950000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,0.803814,0.634148,-4.564699,13.167422,5.057394,13.605356,0.659921,0.075666
0.975000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,0.162987,0.544324,-2.591749,13.257568,5.036241,14.028610,0.660553,0.075783
1.000000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-0.470941,0.459596,-0.645302,13.345020,5.016525,14.454152,0.661208,0.075907
1.025000,Default,5.000000,15.000000,2.500000,4.000000,0.625000,-1.098056,0.379567,1.275102,13.429816,4.998115,14.881790,0.661887,0.076038
